,,,,,,,
,,,,,,,
,,,,Taxas:,Total:,,
ILV,Illuvium," $ 148,6599 ","842,1582938","17,4693119","873,48",,"31,32216725"
ETH,Ethereum," $ 115,04896 ","651,7523277","13,51962544","675,99",,"24,24044928"
LUNA,Terra," $ 41,19 ","233,341339","4,840316436","242,02",,"8,678601754"
SOL,Solana," $ 42,782 ","242,3600186","5,02739543","251,37",,"9,014031081"
AXS,Axie Infinity," $ 33,9324 ","192,2270369","3,987461846","199,38",,"7,149448559"
DOT,Polkadot," $ 39,70 ","224,9004894","4,665223659","233,27",,"8,364663502"
ADA,Cardano," $ 33,4462 ","189,4727141","3,930327545","196,52",,"7,047007768"
AVAX,Avalanche," $ 32,8328 ","185,9978032","3,858245726","192,92",,"6,917766343"
POLS,Polkastarter," $ 18,5447 ","105,0557205","2,179223506","108,96",,"3,9073092"
SAND,The Sandbox," $ 16,7709 ","95,00714402","1,970780843","98,54",,"3,533575192"
BNB,BNB," $ 18,6744 ","105,790471","2,194464803","109,73",,"3,934636577"
MANA,Decentraland," $ 16,316 ","92,43013564","1,917324665","95,87",,"3,437729211"
UNI,Uniswap," $ 18,648 ","105,640915","2,191362488","109,57",,"3,929074181"
LINK,ChainLink," $ 18,6093 ","105,4216795","2,186814777","109,34",,"3,920920214"
AAVE,Aave," $ 18,795 ","106,47367","2,208636742","110,43",,"3,960046612"
PHA,Phala.Network," $ 18,3087 ","103,7187806","2,15149069","107,58",,"3,857584752"
AUDIO,Audius," $ 18,7511 ","106,2249765","2,203477968","110,18",,"3,950797022"
,,,,0,"0,00",,0
SAITAMA,Saitama," $ 20,00 ","113,2999947","2,350238619","117,51",,"4,213936273"
ENJ,Enjin Coin," $ 20,003 ","113,3169897","2,350591155","117,53",,"4,214568363"
FTT,FTX Token," $ 19,972 ","113,1413747","2,346948285","117,35",,"4,208036762"
ATLAS,Star Atlas," $ 19,999 ","113,2943297","2,350121107","117,51",,"4,213725576"
POLYDOGE,PolyDoge," $ 20,00 ","113,2999947","2,350238619","117,51",,"4,213936273"
OMI,ECOMI," $ 20,00 ","113,2999947","2,350238619","117,51",,"4,213936273"
BABYDOGE,Baby Doge Coin," $ 20,00 ","113,2999947","2,350238619","117,51",,"4,213936273"
RACA,Radio Caca," $ 20,00 ","113,2999947","2,350238619","117,51",,"4,213936273"
SCRT,Secret," $ 19,978 ","113,1753647","2,347653356","117,38",,"4,209300943"
SPELL,Spell Token," $ 20,00 ","113,2999947","2,350238619","117,51",,"4,213936273"
,Total," $ 850,9624 ","4820,701542","100,00","5000,00",,"179,2950578"
,,,,,,,
,,,,,Preço do Dólar:,"R$5,664999733",
,,,,,,"U$882,5952222178637",
,,"882,6125747",,,,,
,,,,,,,
,,5000,,,,,
