,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025,,,,,,,,,,,,2026,,,,,,,,,,,,,
Período:,dezembro,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total:,"-15104,7","-21740,11","-14408,59","-14616,42","-21746,87","-16923,31","-13992,62",-13255,"-13852,63","-14405,07","-18681,84","-3334,49","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alimentação (total):,"-3685,76","-4564,49","-3882,96","-6247,66","-7585,65","-4236,34","-5804,31","-7698,62","-5918,41","-6690,21","-5780,24","-1563,94",0,0,0,0,0,0,0,0,0,0,0,0,0,,3000
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia (total):,"-164,85","-585,35","-1014,2","-1355,89","-2291,27","-1693,03","-1130,86","-590,05","-1803,84","-1375,29","-1785,27","-52,04",0,0,0,0,0,0,0,0,0,0,0,0,0,,700
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combustível (total):,"-1325,21","-2001,02","-1730,59","-1441,11","-1713,89","-1299,87","-1159,44","-568,89","-1285,01","-935,05","-2018,88",-50,0,0,0,0,0,0,0,0,0,0,0,0,0,,1100
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery (total):,"-2744,51","-5387,03","-3388,53","-1496,21","-4868,13","-4531,03","-2072,91","-1130,29","-1470,67","-1821,55","-2690,8","-249,9",0,0,0,0,0,0,0,0,0,0,0,0,0,,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outros (total):,"-7184,37","-7928,08","-4392,31","-3865,55","-4371,32","-4675,34","-3390,48","-2991,17","-2825,7","-3358,37","-6160,9","-1418,61","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53","-964,53",,2000
,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alimentação:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grossi Comércio de Alimentos,,"-81,7",,,,,,,,,,,,,,,,,,,,,,,,,
Magnânimo,,"-230,43",,,,,"-316,92",,,,,,,,,,,,,,,,,,,,
Magnânimo,,"-430,77",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drogaria Flor da Vila,,"-18,17",,,"-81,82",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combustível:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Posto Guaricana,,"-282,01",,,"-277,9",,,,,,,,,,,,,,,,,,,,,,
Rota Sul Auto Posto,,"-231,06",,,"-347,09",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adega BL,,-123,,,,,,,,,,,,,,,,,,,,,,,,,
Camile Costa Flórido,,-138,,,,,,,,,,,,,,,,,,,,,,,,,
Conveniência Guaricana,,-40,,,,,,,,,,,,,,,,,,,,,,,,,
Neguinho Porções,,-129,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurante Pelanda CWB,,"-66,86",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outros:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administradora,,-16,,,,,,,,,,,,,,,,,,,,,,,,,
Advance,,-15,,,,,,,,,,,,,,,,,,,,,,,,,
Bia Presentes,,"-112,5",,,,,,,,,,,,,,,,,,,,,,,,,
Terapia da Beleza,,-120,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infinite BB:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alimentação:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akki Atacadista,,,,,"-289,86",,,,,,,,,,,,,,,,,,,,,,
Akki Atacadista,,,,,"-19,98",,,,,,,,,,,,,,,,,,,,,,
Boi Pantaneiro,,,,,,,,,,,,"-495,1",,,,,,,,,,,,,,,
Bom Lugar Jacupiranga,,"-111,04",,"-86,4",,,,,,,,,,,,,,,,,,,,,,,
Central de Carnes,,,,,,,,,,,"-228,93",,,,,,,,,,,,,,,,
Central de Carnes,,,,,,,,,,,"-338,74",,,,,,,,,,,,,,,,
Crepaldi,,,,"-150,24","-198,76","-4,51","-55,87","-344,09","-51,28","-76,34","-90,85","-119,64",,,,,,,,,,,,,,,
Crepaldi,,,,,"-52,15","-64,01","-89,73","-22,25","-66,76","-53,23",-37,"-50,56",,,,,,,,,,,,,,,
Crepaldi,,,,,"-2,99","-9,23","-102,71","-9,99","-99,11","-10,6","-168,66","-118,36",,,,,,,,,,,,,,,
Crepaldi,,,,,"-128,7","-124,16",,"-19,48","-26,66","-108,61","-28,28",,,,,,,,,,,,,,,,
Crepaldi,,,,,"-23,98","-86,59",,"-44,8","-60,09","-71,79","-107,02",,,,,,,,,,,,,,,,
Crepaldi,,,,,"-25,03","-11,99",,"-28,31","-43,72",,"-39,23",,,,,,,,,,,,,,,,
Crepaldi,,,,,"-7,65",,,"-13,29","-69,49",,"-229,09",,,,,,,,,,,,,,,,
Crepaldi,,,,,"-95,11",,,"-29,9","-32,85",,"-9,9",,,,,,,,,,,,,,,,
Crepaldi,,,,,"-103,58",,,,"-27,98",,"-2,99",,,,,,,,,,,,,,,,
Crepaldi,,,,,"-48,68",,,,"-57,11",,"-71,48",,,,,,,,,,,,,,,,
Crepaldi,,,,,"-89,94",,,,,,-32,,,,,,,,,,,,,,,,
Crepaldi,,,,,,,,,,,"-36,76",,,,,,,,,,,,,,,,
Docibra,,,,,,,"-265,32","-232,42",,,,,,,,,,,,,,,,,,,
Docibra,,,,,,,,"-110,1",,,,,,,,,,,,,,,,,,,
Emporio dos Paes,,,,-51,,,,"-58,6",,-145,,,,,,,,,,,,,,,,,
Emporio dos Paes,,,,"-103,2",,,,,,"-105,14",,,,,,,,,,,,,,,,,
Magnânimo,"-454,61","-340,34","-489,8","-18,96","-57,85","-41,03","-90,81","-115,87","-417,07","-240,78","-61,79","-76,58",,,,,,,,,,,,,,,
Magnânimo,"-136,44","-122,29","-31,18","-127,7","-471,92","-247,34","-185,99","-103,79","-23,48","-279,45","-202,49","-124,5",,,,,,,,,,,,,,,
Magnânimo,"-245,04","-249,61","-78,74","-143,93","-114,8","-82,89","-153,71","-430,87","-208,18","-87,14","-67,13","-19,89",,,,,,,,,,,,,,,
Magnânimo,"-207,77","-87,56","-124,77","-125,5","-59,34","-5,79","-52,02","-321,59","-14,37","-189,02","-367,25",,,,,,,,,,,,,,,,
Magnânimo,"-306,58","-194,1","-71,74","-48,2","-173,05","-10,8","-333,44","-204,68","-155,76","-309,25",-149,,,,,,,,,,,,,,,,
Magnânimo,"-322,17","-273,64","-511,12","-147,36","-64,33","-84,9","-20,57","-44,55","-63,54","-121,43","-81,13",,,,,,,,,,,,,,,,
Magnânimo,"-134,78","-563,86","-52,42","-102,49","-18,49","-30,35","-283,63","-54,83","-20,05","-295,57","-29,66",,,,,,,,,,,,,,,,
Magnânimo,"-362,92",,"-60,45","-258,61","-140,16","-332,31","-34,26","-113,68","-140,6","-41,87","-225,63",,,,,,,,,,,,,,,,
Magnânimo,"-60,34",,"-31,47","-118,04","-68,19","-83,89",,"-74,39","-169,77",,"-29,98",,,,,,,,,,,,,,,,
Magnânimo,"-49,64",,,"-89,52","-108,26",,,"-127,22","-136,79",,"-109,82",,,,,,,,,,,,,,,,
Magnânimo,"-597,82",,,"-39,25","-69,98",,,"-298,74","-110,92",,"-44,43",,,,,,,,,,,,,,,,
Magnânimo,"-26,78",,,"-11,9","-53,33",,,"-83,2","-36,41",,"-192,34",,,,,,,,,,,,,,,,
Magnânimo,"-10,8",,,"-191,12","-32,61",,,"-92,87",,,"-36,42",,,,,,,,,,,,,,,,
Magnânimo,,,,"-118,59","-62,13",,,,,,"-67,77",,,,,,,,,,,,,,,,
Magnânimo,,,,"-433,1","-102,3",,,,,,,,,,,,,,,,,,,,,,
Magnânimo,,,,"-55,44","-469,61",,,,,,,,,,,,,,,,,,,,,,
Magnânimo,,,,"-148,21","-246,56",,,,,,,,,,,,,,,,,,,,,,
Magnânimo,,,,,"-294,78",,,,,,,,,,,,,,,,,,,,,,
Magnânimo,,,,,"-51,35",,,,,,,,,,,,,,,,,,,,,,
Mercadão Atacadista,,"-733,84",,"-1716,67","-1404,48",,"-1832,79","-2061,26","-2044,41","-2262,15","-1682,16","-242,28",,,,,,,,,,,,,,,
Mercadão Atacadista,,"-647,05",,"-539,39",,,,"-138,96","-165,19",,"-139,25",,,,,,,,,,,,,,,,
Mercadão Atacadista,,,,"-18,68",,,,,,,,,,,,,,,,,,,,,,,
Mercado Bonsai,"-316,42",,,"-134,35","-26,5",,,,,,,,,,,,,,,,,,,,,,
Mercado Bonsai,"-86,94",,,"-65,18",,,,,,,,,,,,,,,,,,,,,,,
Mercado e Padaria,,,,,,,,,,,-31,,,,,,,,,,,,,,,,
Mercado Real Center,,,,,,,,,"-100,84",,,,,,,,,,,,,,,,,,
Mercanossa,,"-25,46",,,,"-17,76",,,"-24,25","-46,09",,,,,,,,,,,,,,,,,
Mercanossa,,,,,,"-56,81",,,,"-13,02",,,,,,,,,,,,,,,,,
Mercanossa,,,,,,"-12,42",,,,"-3,4",,,,,,,,,,,,,,,,,
Mini mercado Boi Pantanero,,,,,,,"-987,47","-1250,48","-438,42",,"-75,39",,,,,,,,,,,,,,,,
Padaria Brisas,,-26,,,"-103,66",,,,,,,,,,,,,,,,,,,,,,
