,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025,,,,,,,,,,,,2026,,,,,,,,,,,
Período:,dezembro,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro
,,,,,,,,,,,,,,,,,,,,,,,,,
Total:,"-12610,86","-12610,86","-12678,06","-12644,38","-12786,06","-13091,09","-12741,09","-12741,09","-12741,09","-12609,05","-12651,25","-12651,25","-12651,25","-12651,25","-12651,25","-12651,25","-12651,25","-12651,25","-12651,25","-12651,25","-12651,25","-12651,25","-12651,25","-11183,49","-11183,49"
,,,,,,,,,,,,,,,,,,,,,,,,,
Empréstimos:,,,,,,,,,,,,,,,,,,,,,,,,,
BB consignado (João),"-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72","-1402,72"
BB consignado (João),"-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72","-552,72"
Caixa consignado (Pai),"-4605,35","-4605,35","-4605,35","-4605,35","-4605,35","-4605,35","-4605,35","-4605,35","-4605,35","-5623,87","-5623,87","-5623,87","-5623,87","-5623,87","-5623,87","-5623,87","-5623,87","-5623,87","-5623,87","-5623,87","-5623,87","-5623,87","-5623,87","-5623,87","-5623,87"
Caixa consignado (Pai),"-627,86","-627,86","-627,86","-627,86","-627,86","-627,86","-627,86","-627,86","-627,86",,,,,,,,,,,,,,,,
Carro (BMW),"-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18","-3588,18"
Consórcio Bradesco,"-1346,93","-1346,93","-1414,13","-1380,45","-1470,53","-1425,56","-1425,56","-1425,56","-1425,56","-1425,56","-1467,76","-1467,76","-1467,76","-1467,76","-1467,76","-1467,76","-1467,76","-1467,76","-1467,76","-1467,76","-1467,76","-1467,76","-1467,76",,
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas bancárias:,,,,,,,,,,,,,,,,,,,,,,,,,
Apatej,"-471,1","-471,1","-471,1","-471,1","-522,7","-872,7","-522,7","-522,7","-522,7",,,,,,,,,,,,,,,,
Cesta Caixa (Pai),-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16
Cesta Santander (Pai),,,,,,,,,,,,,,,,,,,,,,,,,
