,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025,,,,,,,,,,,,2026,,,,,,,,,,,
Período:,dezembro,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro
,,,,,,,,,,,,,,,,,,,,,,,,,
Total:,-1480,-1250,-2545,-2005,-2590,-1740,-2040,-1640,-1600,-2190,"-1650,52","-1356,55","-1229,22","-1050,99","-1050,99","-1006,55","-1006,55","-996,65","-996,65","-996,65",-870,-870,-870,-870,-870
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas com moradia:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas com saúde:,,,,,,,,,,,,,,,,,,,,,,,,,
Lentes (Gordo),,,,,,,,,,,,,,,,,,,,,,,,,
Exames (Mãe),,,,,,,,,,,,,,,,,,,,,,,,,
Exames (Pai),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas com educação:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas com estética:,,,,,,,,,,,,,,,,,,,,,,,,,
Cabeleireiro (João),,,,,,,,,,,,,,,,,,,,,,,,,
Lipo de papada (Mãe),,,,,,,,,,,,,,,,,,,,,,,,,
Manicure (Mãe),-320,-320,-320,-320,-320,-320,-320,-320,-320,-320,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300
Pilates (mãe e pai),-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470
Suplementos,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas pessoais:,,,,,,,,,,,,,,,,,,,,,,,,,
Cartão do Gordo,-690,-460,-1755,-1215,-1800,-950,-1250,-850,-810,-1400,"-880,52","-586,55","-459,22","-280,99","-280,99","-236,55","-236,55","-226,65","-226,65","-226,65",-100,-100,-100,-100,-100
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas com lazer:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas com transporte:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas (outros):,,,,,,,,,,,,,,,,,,,,,,,,,
